SigUF,NomRegiao,CodMunicipioIbge,NomMunicipio,qtd_empreendimentos,potencia_total_kw,potencia_media_kw
SE,Nordeste,2805604,Porto da Folha,391,3134.81,8.02
CE,Nordeste,2303956,Chorozinho,249,3134.02,12.59
GO,Centro Oeste,5212105,Joviânia,283,3132.53,11.07
GO,Centro Oeste,5200175,Água Fria de Goiás,59,3129.51,53.04
GO,Centro Oeste,5204003,Cabeceiras,125,3125.33,25.0
MG,Sudeste,3132909,Itamogi,417,3124.29,7.49
SC,Sul,4219408,Witmarsum,356,3122.5,8.77
RJ,Sudeste,3301504,Cordeiro,384,3119.44,8.12
SC,Sul,4207577,Iomerê,148,3116.42,21.06
MG,Sudeste,3128907,Guimarânia,309,3116.0,10.08
MG,Sudeste,3152907,Pratápolis,395,3116.0,7.89
MG,Sudeste,3116209,Chiador,17,3114.61,183.21
SP,Sudeste,3502606,Aparecida D'Oeste,384,3113.99,8.11
RS,Sul,4321634,Três Arroios,231,3113.01,13.48
PI,Nordeste,2204501,Guadalupe,384,3110.83,8.1
PR,Sul,4113106,Kaloré,241,3108.64,12.9
PR,Sul,4127601,Tijucas do Sul,207,3107.8,15.01
PR,Sul,4111605,Ivatuba,208,3107.55,14.94
PR,Sul,4101150,Ângulo,226,3107.14,13.75
BA,Nordeste,2906824,Canudos,385,3106.62,8.07
GO,Centro Oeste,5205000,Carmo do Rio Verde,336,3104.02,9.24
PR,Sul,4112009,Jaguariaíva,208,3103.82,14.92
BA,Nordeste,2917359,Jaborandi,359,3102.33,8.64
BA,Nordeste,2916500,Itapicuru,311,3099.24,9.97
CE,Nordeste,2303303,Cariús,353,3097.21,8.77
SP,Sudeste,3553005,Taguaí,250,3096.4,12.39
SP,Sudeste,3522802,Itaporanga,252,3096.1,12.29
PR,Sul,4110409,Indianópolis,272,3092.66,11.37
SC,Sul,4216354,São João do Itaperiú,267,3082.15,11.54
SP,Sudeste,3531605,Monte Castelo,267,3081.01,11.54
MG,Sudeste,3107703,Bom Jesus do Amparo,125,3078.39,24.63
PA,Norte,1501576,Bom Jesus do Tocantins,321,3078.09,9.59
CE,Nordeste,2309508,Orós,336,3073.38,9.15
SC,Sul,4218400,Treze de Maio,334,3071.07,9.19
SC,Sul,4212304,Paulo Lopes,317,3065.6,9.67
RN,Nordeste,2409902,Pendências,352,3065.14,8.71
PR,Sul,4115507,Marumbi,180,3064.11,17.02
MG,Sudeste,3108107,Bonfim,265,3062.51,11.56
RN,Nordeste,2413607,Severiano Melo,440,3053.35,6.94
GO,Centro Oeste,5214804,Nova Aurora,79,3052.45,38.64
PB,Nordeste,2508604,Lucena,327,3052.19,9.33
PR,Sul,4123857,Santa Maria do Oeste,166,3051.06,18.38
BA,Nordeste,2918506,Jussara,344,3046.84,8.86
SC,Sul,4209508,Laurentino,299,3045.46,10.19
MG,Sudeste,3102001,Alterosa,324,3041.33,9.39
SC,Sul,4201257,Apiúna,399,3041.02,7.62
RS,Sul,4320552,Sertão Santana,401,3040.97,7.58
PA,Norte,1500503,Almeirim,340,3039.71,8.94
GO,Centro Oeste,5200852,Americano do Brasil,201,3038.95,15.12
PE,Nordeste,2608057,Jatobá,561,3038.72,5.42
RS,Sul,4315149,Presidente Lucena,368,3036.27,8.25
TO,Norte,1722081,Wanderlândia,216,3035.37,14.05
SP,Sudeste,3547908,Santo Antônio da Alegria,299,3034.15,10.15
CE,Nordeste,2304350,Forquilha,299,3032.72,10.14
SE,Nordeste,2805703,Propriá,276,3032.01,10.99
RS,Sul,4321436,Terra de Areia,295,3029.16,10.27
BA,Nordeste,2932309,Ubatã,344,3026.2,8.8
CE,Nordeste,2313203,Tamboril,375,3025.07,8.07
PE,Nordeste,2608503,Lagoa do Itaenga,291,3023.2,10.39
MG,Sudeste,3151404,Pitangui,408,3022.45,7.41
MS,Centro Oeste,5006358,Paranhos,292,3018.38,10.34
PR,Sul,4125456,São José das Palmeiras,257,3013.56,11.73
BA,Nordeste,2912103,Ibicaraí,410,3013.3,7.35
SP,Sudeste,3529500,Mendonça,493,3012.66,6.11
SP,Sudeste,3555604,Uchoa,357,3011.46,8.44
SP,Sudeste,3516309,Francisco Morato,368,3010.75,8.18
SC,Sul,4205191,Ermo,39,3009.52,77.17
RS,Sul,4303301,Caibaté,413,3008.76,7.29
MG,Sudeste,3103009,Antônio Dias,218,3007.16,13.79
PR,Sul,4114351,Manfrinópolis,142,3006.1,21.17
PI,Nordeste,2201507,Batalha,422,3006.05,7.12
SP,Sudeste,3535606,Paraibuna,371,3001.46,8.09
RN,Nordeste,2407500,Maxaranguape,273,2999.92,10.99
PB,Nordeste,2501104,Areia,170,2999.82,17.65
RS,Sul,4316501,Salvador do Sul,260,2998.61,11.53
PR,Sul,4116802,Nova Cantu,211,2987.76,14.16
RS,Sul,4316972,Santa Margarida do Sul,152,2983.79,19.63
BA,Nordeste,2904100,Boquira,505,2979.88,5.9
PE,Nordeste,2614808,Tacaratu,442,2979.77,6.74
TO,Norte,1703107,Barrolândia,123,2979.15,24.22
BA,Nordeste,2905909,Campo Alegre de Lourdes,384,2978.79,7.76
BA,Nordeste,2932408,Uibaí,341,2978.05,8.73
MG,Sudeste,3137700,Lajinha,303,2974.83,9.82
PA,Norte,1504604,Mocajuba,279,2974.0,10.66
PR,Sul,4113809,Lupionópolis,229,2971.34,12.98
GO,Centro Oeste,5204904,Campos Belos,232,2971.19,12.81
RO,Norte,1101757,Vale do Anari,317,2970.47,9.37
RS,Sul,4307559,Estação,364,2970.03,8.16
SC,Sul,4206751,Ibiam,115,2969.97,25.83
PE,Nordeste,2604205,Catende,434,2969.55,6.84
PE,Nordeste,2616308,Vicência,306,2968.28,9.7
MG,Sudeste,3168507,Teixeiras,280,2968.03,10.6
MA,Nordeste,2107407,Olho D'Água das Cunhãs,345,2965.05,8.59
SP,Sudeste,3552809,Taboão da Serra,393,2963.34,7.54
MG,Sudeste,3137106,Lagamar,262,2960.68,11.3
SP,Sudeste,3553203,Taiúva,265,2959.85,11.17
GO,Centro Oeste,5213905,Mossâmedes,151,2958.88,19.6
PA,Norte,1505650,Placas,253,2956.17,11.68
PR,Sul,4123824,Santa Lúcia,211,2955.06,14.01
SC,Sul,4206801,Ibicaré,117,2955.03,25.26
SP,Sudeste,3520202,Igaratá,323,2950.61,9.14
PR,Sul,4119301,Pinhão,167,2946.55,17.64
SP,Sudeste,3536901,Pedranópolis,325,2935.46,9.03
RS,Sul,4322855,Vespasiano Correa,147,2932.75,19.95
RS,Sul,4321477,Tiradentes do Sul,323,2932.72,9.08
TO,Norte,1718006,Porto Alegre do Tocantins,165,2930.77,17.76
MT,Centro Oeste,5106273,Novo Horizonte do Norte,281,2930.11,10.43
SP,Sudeste,3545407,Salto Grande,250,2929.52,11.72
BA,Nordeste,2910305,Elísio Medrado,203,2927.0,14.42
BA,Nordeste,2910404,Encruzilhada,231,2926.8,12.67
SC,Sul,4207684,Ipuaçu,156,2923.96,18.74
MG,Sudeste,3126000,Florestal,264,2922.46,11.07
BA,Nordeste,2921054,Matina,440,2922.28,6.64
RN,Nordeste,2403301,Encanto,376,2920.69,7.77
PR,Sul,4128807,Xambrê,304,2920.36,9.61
SP,Sudeste,3543105,Ribeirão Corrente,128,2917.09,22.79
RN,Nordeste,2401800,Brejinho,236,2917.01,12.36
SP,Sudeste,3529609,Meridiano,430,2914.16,6.78
ES,Sudeste,3200359,Alto Rio Novo,308,2909.11,9.45
GO,Centro Oeste,5221197,Terezópolis de Goiás,169,2907.64,17.2
MG,Sudeste,3133105,Itanhandu,250,2907.53,11.63
MS,Centro Oeste,5003504,Douradina,409,2906.49,7.11
SP,Sudeste,3547106,Santa Mercedes,178,2903.86,16.31
RN,Nordeste,2402501,Carnaubais,316,2901.12,9.18
PR,Sul,4100301,Agudos do Sul,205,2897.9,14.14
RS,Sul,4315958,Rolador,179,2897.19,16.19
MS,Centro Oeste,5002803,Caracol,288,2893.53,10.05
MT,Centro Oeste,5104500,Indiavaí,217,2891.74,13.33
PE,Nordeste,2614204,Sirinhaém,329,2891.18,8.79
MG,Sudeste,3108909,Brazópolis,310,2890.38,9.32
PE,Nordeste,2604601,Condado,316,2888.05,9.14
MA,Nordeste,2109809,Santa Helena,302,2887.01,9.56
RN,Nordeste,2414001,Tangará,269,2883.31,10.72
PE,Nordeste,2609006,Macaparana,247,2880.85,11.66
CE,Nordeste,2305209,Hidrolândia,380,2880.78,7.58
BA,Nordeste,2915205,Itagibá,308,2875.07,9.33
SC,Sul,4205431,Formosa do Sul,199,2874.9,14.45
RS,Sul,4307203,Erval Grande,212,2874.31,13.56
SC,Sul,4213807,Praia Grande,217,2871.77,13.23
CE,Nordeste,2301950,Barreira,183,2870.53,15.69
RS,Sul,4314548,Pinto Bandeira,185,2868.07,15.5
MG,Sudeste,3161304,São Francisco de Sales,415,2867.94,6.91
GO,Centro Oeste,5218706,Rianápolis,258,2866.45,11.11
PB,Nordeste,2506905,Itabaiana,263,2865.53,10.9
MA,Nordeste,2104404,Gonçalves Dias,259,2865.36,11.06
CE,Nordeste,2309458,Ocara,214,2864.3,13.38
PR,Sul,4107108,Diamante do Norte,281,2862.46,10.19
PR,Sul,4116406,Nossa Senhora das Graças,203,2859.85,14.09
CE,Nordeste,2305704,Ipaumirim,363,2859.61,7.88
SC,Sul,4215653,Santa Rosa do Sul,304,2858.65,9.4
CE,Nordeste,2301851,Banabuiú,330,2856.33,8.66
MA,Nordeste,2111409,São Luís Gonzaga do Maranhão,348,2853.7,8.2
SC,Sul,4200606,Águas Mornas,316,2853.55,9.03
RS,Sul,4310363,Imigrante,247,2852.29,11.55
GO,Centro Oeste,5220264,São Miguel do Passa Quatro,218,2851.88,13.08
SC,Sul,4218301,Três Barras,172,2848.03,16.56
PR,Sul,4100103,Abatiá,183,2848.03,15.56
MG,Sudeste,3162559,São João do Manhuaçu,325,2846.57,8.76
PB,Nordeste,2500601,Alhandra,118,2845.63,24.12
PI,Nordeste,2204709,Inhuma,326,2843.4,8.72
AL,Nordeste,2707404,Porto de Pedras,208,2841.83,13.66
RO,Norte,1101203,Ministro Andreazza,289,2839.59,9.83
PA,Norte,1506351,Santa Bárbara do Pará,218,2836.57,13.01
SP,Sudeste,3509254,Cajati,416,2835.31,6.82
GO,Centro Oeste,5214861,Nova Glória,273,2831.05,10.37
PI,Nordeste,2206902,Novo Oriente do Piauí,131,2830.05,21.6
MT,Centro Oeste,5101605,Barão de Melgaço,374,2829.22,7.56
SP,Sudeste,3531100,Mongaguá,392,2829.11,7.22
RS,Sul,4305173,Cerro Grande do Sul,322,2829.02,8.79
GO,Centro Oeste,5216809,Petrolina de Goiás,245,2827.28,11.54
MA,Nordeste,2107902,Passagem Franca,281,2823.65,10.05
RS,Sul,4315909,Rodeio Bonito,203,2821.52,13.9
MG,Sudeste,3151107,Pirapetinga,407,2821.45,6.93
MG,Sudeste,3114105,Carmo de Minas,189,2820.2,14.92
SP,Sudeste,3548104,Santo Antônio do Jardim,279,2818.84,10.1
SC,Sul,4213005,Pinheiro Preto,107,2814.1,26.3
SC,Sul,4211751,Otacílio Costa,228,2811.8,12.33
PR,Sul,4103404,Cafeara,171,2811.58,16.44
BA,Nordeste,2905602,Camacan,312,2807.58,9.0
RS,Sul,4318614,São José do Sul,206,2807.42,13.63
GO,Centro Oeste,5205901,Corumbaíba,302,2806.72,9.29
PR,Sul,4125407,São José da Boa Vista,169,2806.53,16.61
AL,Nordeste,2701704,Capela,204,2806.04,13.76
RS,Sul,4308458,Fortaleza dos Valos,325,2802.74,8.62
MG,Sudeste,3168804,Tiradentes,279,2802.44,10.04
SC,Sul,4219358,Vitor Meireles,265,2800.26,10.57
RS,Sul,4301107,Arroio dos Ratos,398,2800.14,7.04
SP,Sudeste,3521150,Ipiguá,323,2799.99,8.67
AL,Nordeste,2708402,São José da Tapera,313,2796.84,8.94
SP,Sudeste,3528858,Marapoama,342,2795.95,8.18
SC,Sul,4203709,Canelinha,261,2795.08,10.71
MG,Sudeste,3109501,Cabo Verde,257,2791.69,10.86
SC,Sul,4215554,Santa Helena,187,2791.5,14.93
BA,Nordeste,2917003,Itiúba,339,2791.31,8.23
MG,Sudeste,3117702,Conceição do Rio Verde,187,2785.07,14.89
RS,Sul,4304713,Caraá,264,2783.52,10.54
TO,Norte,1715754,Palmeirópolis,291,2783.2,9.56
MA,Nordeste,2108900,Poção de Pedras,372,2782.94,7.48
MG,Sudeste,3127305,Galiléia,335,2782.0,8.3
MG,Sudeste,3136900,Juruaia,423,2780.02,6.57
GO,Centro Oeste,5207253,Doverlândia,195,2778.97,14.25
SC,Sul,4202602,Bom Retiro,162,2777.0,17.14
PR,Sul,4117057,Nova Laranjeiras,197,2776.91,14.1
GO,Centro Oeste,5203401,Bom Jardim de Goiás,240,2776.64,11.57
RS,Sul,4300471,Almirante Tamandaré do Sul,280,2775.14,9.91
SC,Sul,4201604,Arroio Trinta,139,2774.45,19.96
RS,Sul,4305702,Condor,199,2773.56,13.94
RS,Sul,4308078,Fazenda Vilanova,262,2772.74,10.58
MG,Sudeste,3144359,Naque,255,2772.18,10.87
SP,Sudeste,3521606,Irapuru,306,2771.74,9.06
RN,Nordeste,2412104,São João do Sabugi,412,2768.83,6.72
RO,Norte,1101005,Governador Jorge Teixeira,330,2768.38,8.39
SP,Sudeste,3557154,Zacarias,367,2766.31,7.54
CE,Nordeste,2306009,Iracema,369,2764.46,7.49
PI,Nordeste,2205805,Luzilândia,360,2763.49,7.68
MG,Sudeste,3102902,Antônio Carlos,138,2763.48,20.03
RS,Sul,4302253,Boa Vista do Sul,179,2763.08,15.44
BA,Nordeste,2900405,Água Fria,126,2761.98,21.92
MA,Nordeste,2105609,Joselândia,411,2761.95,6.72
MA,Nordeste,2111532,São Pedro da Água Branca,281,2760.4,9.82
MA,Nordeste,2104107,Fortaleza dos Nogueiras,234,2760.29,11.8
MA,Nordeste,2112100,Timbiras,320,2759.98,8.62
MG,Sudeste,3113909,Carmo da Cachoeira,132,2759.72,20.91
MG,Sudeste,3163805,São Miguel do Anta,313,2758.88,8.81
MG,Sudeste,3122900,Dona Euzébia,312,2758.03,8.84
GO,Centro Oeste,5214408,Nazário,251,2757.91,10.99
RN,Nordeste,2410405,Pureza,168,2756.93,16.41
PR,Sul,4103206,Bom Sucesso,171,2756.59,16.12
RJ,Sudeste,3304128,Quatis,144,2754.53,19.13
RS,Sul,4318440,São Jorge,232,2752.91,11.87
SP,Sudeste,3525409,Jeriquara,112,2752.62,24.58
RO,Norte,1100080,Costa Marques,268,2751.25,10.27
RS,Sul,4304671,Capivari do Sul,164,2750.64,16.77
SP,Sudeste,3519006,Herculândia,302,2747.38,9.1
BA,Nordeste,2933455,Wanderley,342,2746.43,8.03
RN,Nordeste,2412401,São José do Seridó,268,2745.59,10.24
PE,Nordeste,2612406,Sanharó,321,2741.81,8.54
BA,Nordeste,2929701,Sátiro Dias,187,2741.36,14.66
PA,Norte,1507979,Terra Santa,323,2741.14,8.49
SP,Sudeste,3556602,Vera Cruz,225,2739.64,12.18
CE,Nordeste,2310803,Pereiro,235,2737.46,11.65
SC,Sul,4215901,São Bonifácio,124,2737.25,22.07
MG,Sudeste,3164308,São Roque de Minas,253,2736.51,10.82
SP,Sudeste,3516804,Gastão Vidigal,242,2734.43,11.3
BA,Nordeste,2903409,Belmonte,216,2732.46,12.65
SC,Sul,4206603,Guarujá do Sul,188,2731.75,14.53
MG,Sudeste,3102308,Alvinópolis,205,2730.0,13.32
MG,Sudeste,3134103,Itueta,406,2728.37,6.72
RS,Sul,4313391,Novo Cabrais,303,2725.64,9.0
BA,Nordeste,2908606,Conde,313,2725.46,8.71
SC,Sul,4205605,Galvão,141,2724.76,19.32
RN,Nordeste,2411403,Santana do Matos,316,2724.24,8.62
PI,Nordeste,2203107,Cristino Castro,218,2719.08,12.47
PR,Sul,4110904,Itaguajé,214,2718.97,12.71
MG,Sudeste,3158508,Santana de Pirapama,184,2716.8,14.77
AC,Norte,1200807,Porto Acre,300,2714.89,9.05
RS,Sul,4302451,Boqueirão do Leão,236,2713.03,11.5
MG,Sudeste,3150158,Piedade de Caratinga,300,2711.03,9.04
BA,Nordeste,2923035,Novo Horizonte,316,2705.67,8.56
PR,Sul,4110656,Iracema do Oeste,158,2704.73,17.12
SP,Sudeste,3532801,Nova Aliança,249,2701.94,10.85
SC,Sul,4200309,Agronômica,268,2699.78,10.07
AL,Nordeste,2707305,Porto Calvo,275,2698.74,9.81
RS,Sul,4314134,Paulo Bento,179,2696.93,15.07
GO,Centro Oeste,5219258,Santa Fé de Goiás,233,2695.25,11.57
SP,Sudeste,3552908,Taciba,357,2694.82,7.55
SP,Sudeste,3530409,Mirassolândia,161,2693.86,16.73
BA,Nordeste,2932705,Uruçuca,264,2693.55,10.2
RS,Sul,4310900,Jacutinga,256,2692.87,10.52
RS,Sul,4315206,Putinga,236,2690.99,11.4
RN,Nordeste,2410504,Rafael Fernandes,381,2689.59,7.06
SP,Sudeste,3511904,Clementina,382,2688.22,7.04
BA,Nordeste,2927101,Rodelas,215,2687.49,12.5
PR,Sul,4109658,Honório Serpa,147,2685.46,18.27
RO,Norte,1100601,Cacaulândia,240,2684.93,11.19
BA,Nordeste,2907558,Caturama,451,2683.08,5.95
PR,Sul,4107850,Flor da Serra do Sul,192,2681.86,13.97
RO,Norte,1100031,Cabixi,253,2681.74,10.6
BA,Nordeste,2901106,Amélia Rodrigues,279,2681.33,9.61
PI,Nordeste,2200301,Alto Longá,232,2677.32,11.54
PA,Norte,1504976,Nova Ipixuna,222,2672.83,12.04
SP,Sudeste,3502309,Anhembi,189,2672.6,14.14
PE,Nordeste,2600708,Aliança,277,2666.85,9.63
BA,Nordeste,2925006,Planalto,298,2666.79,8.95
MG,Sudeste,3120706,Cruzeiro da Fortaleza,186,2665.71,14.33
GO,Centro Oeste,5215900,Palminópolis,200,2665.64,13.33
MA,Nordeste,2110500,São Bento,264,2664.6,10.09
BA,Nordeste,2921807,Mortugaba,437,2663.76,6.1
BA,Nordeste,2903003,Barra do Mendes,275,2661.49,9.68
BA,Nordeste,2920403,Manoel Vitorino,342,2661.03,7.78
MG,Sudeste,3161403,São Francisco do Glória,80,2660.16,33.25
PR,Sul,4106001,Congonhinhas,184,2656.17,14.44
MG,Sudeste,3162708,São João do Paraíso,338,2655.39,7.86
MS,Centro Oeste,5004809,Japorã,310,2654.96,8.56
SP,Sudeste,3513603,Cunha,217,2654.04,12.23
RS,Sul,4301552,Áurea,213,2651.56,12.45
GO,Centro Oeste,5216304,Paranaiguara,262,2651.07,10.12
BA,Nordeste,2922508,Nazaré,301,2649.13,8.8
PB,Nordeste,2502508,Boqueirão,165,2647.96,16.05
SC,Sul,4212254,Passo de Torres,397,2643.59,6.66
SP,Sudeste,3520004,Igaraçu do Tietê,397,2641.94,6.65
SP,Sudeste,3500808,Alfredo Marcondes,384,2640.05,6.88
RN,Nordeste,2403707,Felipe Guerra,378,2638.57,6.98
MG,Sudeste,3124807,Estrela do Sul,238,2638.22,11.08
PI,Nordeste,2202604,Castelo do Piauí,351,2637.53,7.51
MG,Sudeste,3168903,Tiros,203,2635.21,12.98
PR,Sul,4103370,Brasilândia do Sul,240,2629.68,10.96
CE,Nordeste,2303204,Caririaçu,286,2628.12,9.19
BA,Nordeste,2917300,Ituberá,276,2625.47,9.51
RS,Sul,4310306,Ilópolis,232,2623.13,11.31
PR,Sul,4104253,Campo Magro,189,2622.88,13.88
AC,Norte,1200708,Xapuri,239,2621.08,10.97
BA,Nordeste,2916104,Itaparica,340,2620.37,7.71
MA,Nordeste,2106102,Loreto,146,2618.22,17.93
MA,Nordeste,2105153,Igarapé do Meio,124,2615.71,21.09
RJ,Sudeste,3300225,Areal,195,2613.1,13.4
PA,Norte,1507102,São Caetano de Odivelas,249,2613.05,10.49
PI,Nordeste,2202083,Cajueiro da Praia,247,2611.02,10.57
BA,Nordeste,2915809,Itambé,259,2607.38,10.07
CE,Nordeste,2302701,Campos Sales,265,2606.06,9.83
TO,Norte,1716703,Colméia,296,2605.78,8.8
BA,Nordeste,2930303,Serra Dourada,383,2601.75,6.79
PR,Sul,4116208,Morretes,242,2597.92,10.74
GO,Centro Oeste,5208152,Gameleira de Goiás,127,2596.52,20.45
RN,Nordeste,2401305,Campo Grande,340,2591.8,7.62
MG,Sudeste,3149507,Pequeri,36,2589.0,71.92
BA,Nordeste,2903276,Barrocas,370,2588.41,7.0
PR,Sul,4111100,Itambé,314,2586.56,8.24
RS,Sul,4317756,Santo Antônio do Planalto,266,2582.32,9.71
PR,Sul,4109104,Guaporema,155,2581.73,16.66
BA,Nordeste,2918605,Jussiape,317,2580.48,8.14
AL,Nordeste,2702355,Craíbas,283,2580.22,9.12
SE,Nordeste,2806008,Ribeirópolis,228,2578.94,11.31
SE,Nordeste,2807600,Umbaúba,163,2578.55,15.82
RJ,Sudeste,3305307,São Sebastião do Alto,285,2571.64,9.02
SE,Nordeste,2806206,Salgado,241,2566.39,10.65
BA,Nordeste,2929404,São Miguel das Matas,246,2562.32,10.42
CE,Nordeste,2306108,Irauçuba,232,2562.23,11.04
SC,Sul,4200754,Alto Bela Vista,157,2562.2,16.32
SP,Sudeste,3524204,Jaborandi,354,2556.76,7.22
BA,Nordeste,2919702,Macarani,282,2554.69,9.06
SP,Sudeste,3539608,Planalto,390,2550.53,6.54
MG,Sudeste,3162401,São João da Ponte,243,2549.07,10.49
MG,Sudeste,3140852,Matias Cardoso,89,2546.57,28.61
MG,Sudeste,3155702,Rio Piracicaba,253,2541.5,10.05
RO,Norte,1101559,Teixeirópolis,288,2540.78,8.82
BA,Nordeste,2905305,Cafarnaum,174,2539.97,14.6
SP,Sudeste,3514007,Dobrada,160,2535.62,15.85
SC,Sul,4218103,Timbé do Sul,80,2535.54,31.69
SP,Sudeste,3525854,Jumirim,115,2534.19,22.04
MT,Centro Oeste,5100359,Alto Boa Vista,207,2527.45,12.21
GO,Centro Oeste,5219902,São Francisco de Goiás,171,2525.39,14.77
PR,Sul,4101051,Anahy,173,2524.71,14.59
SP,Sudeste,3550803,São Sebastião da Grama,337,2523.75,7.49
PA,Norte,1508357,Vitória do Xingu,304,2521.6,8.29
CE,Nordeste,2310308,Parambu,302,2519.77,8.34
SC,Sul,4202206,Benedito Novo,299,2519.48,8.43
RS,Sul,4300307,Alecrim,408,2517.41,6.17
SC,Sul,4204194,Chapadão do Lageado,262,2515.96,9.6
CE,Nordeste,2304236,Croatá,274,2515.46,9.18
PE,Nordeste,2613206,São João,279,2515.43,9.02
BA,Nordeste,2914109,Ipupiara,307,2514.84,8.19
MS,Centro Oeste,5007976,Taquarussu,304,2514.36,8.27
MA,Nordeste,2112605,Urbano Santos,205,2513.94,12.26
RS,Sul,4306452,Dois Lajeados,184,2513.81,13.66
RS,Sul,4312302,Miraguaí,237,2508.85,10.59
MG,Sudeste,3115805,Centralina,464,2507.37,5.4
MG,Sudeste,3157609,Santa Fé de Minas,53,2505.28,47.27
PR,Sul,4102901,Bituruna,205,2503.96,12.21
SE,Nordeste,2801009,Campo do Brito,204,2502.37,12.27
SC,Sul,4205100,Dona Emma,243,2500.15,10.29
AL,Nordeste,2702603,Feira Grande,285,2500.06,8.77
SP,Sudeste,3551306,Sebastianópolis do Sul,315,2498.11,7.93
RS,Sul,4314605,Piratini,276,2492.64,9.03
SC,Sul,4212601,Peritiba,170,2486.77,14.63
PI,Nordeste,2210805,Simplício Mendes,337,2486.41,7.38
BA,Nordeste,2911808,Guaratinga,314,2484.48,7.91
RS,Sul,4312609,Muçum,242,2481.49,10.25
MG,Sudeste,3154903,Rio Casca,213,2480.92,11.65
PR,Sul,4115754,Mauá da Serra,192,2480.84,12.92
SC,Sul,4210803,Meleiro,128,2476.95,19.35
BA,Nordeste,2908200,Conceição da Feira,272,2476.02,9.1
PR,Sul,4119707,Planaltina do Paraná,211,2475.57,11.73
AL,Nordeste,2706802,Piaçabuçu,260,2475.21,9.52
MA,Nordeste,2110856,São Francisco do Brejão,222,2474.39,11.15
CE,Nordeste,2312007,Santana do Acaraú,267,2473.8,9.27
SC,Sul,4209805,Leoberto Leal,285,2470.56,8.67
BA,Nordeste,2924405,Pilão Arcado,385,2470.52,6.42
AL,Nordeste,2700201,Anadia,216,2469.55,11.43
RJ,Sudeste,3306156,Varre-Sai,304,2465.11,8.11
MG,Sudeste,3141603,Mercês,192,2464.94,12.84
MA,Nordeste,2105948,Lago dos Rodrigues,291,2464.92,8.47
PI,Nordeste,2203503,Elesbão Veloso,200,2463.34,12.32
MG,Sudeste,3162609,São João do Oriente,289,2459.05,8.51
RS,Sul,4312757,Nova Alvorada,238,2458.59,10.33
BA,Nordeste,2931509,Teofilândia,384,2457.83,6.4
PR,Sul,4104451,Cantagalo,239,2456.39,10.28
RS,Sul,4304655,Capão do Cipó,232,2456.24,10.59
PR,Sul,4103305,Borrazópolis,199,2453.13,12.33
SC,Sul,4219101,Vargeão,153,2450.9,16.02
GO,Centro Oeste,5207600,Fazenda Nova,300,2450.61,8.17
PA,Norte,1500206,Acará,180,2440.98,13.56
SP,Sudeste,3552551,Suzanápolis,401,2440.1,6.09
AC,Norte,1200336,Mâncio Lima,215,2439.91,11.35
SP,Sudeste,3503109,Arandu,156,2438.98,15.63
SC,Sul,4200556,Águas Frias,189,2438.35,12.9
MG,Sudeste,3165701,Senador Firmino,339,2433.63,7.18
SP,Sudeste,3546207,Santa Cruz da Conceição,178,2433.2,13.67
SC,Sul,4201653,Arvoredo,158,2431.89,15.39
RS,Sul,4305603,Colorado,387,2428.94,6.28
GO,Centro Oeste,5203575,Bonópolis,108,2428.18,22.48
PB,Nordeste,2514206,São José da Lagoa Tapada,132,2428.15,18.4
RS,Sul,4301958,Barra Funda,220,2425.91,11.03
GO,Centro Oeste,5219712,Santo Antônio da Barra,138,2425.26,17.57
SP,Sudeste,3535903,Paranapuã,251,2424.34,9.66
BA,Nordeste,2922102,Mundo Novo,186,2424.09,13.03
SP,Sudeste,3523800,Itobi,218,2422.09,11.11
MG,Sudeste,3111804,Canápolis,369,2420.93,6.56
SP,Sudeste,3516606,Gália,313,2420.7,7.73
GO,Centro Oeste,5203203,Barro Alto,266,2416.23,9.08
TO,Norte,1707108,Divinópolis do Tocantins,208,2415.99,11.62
GO,Centro Oeste,5213004,Maurilândia,248,2415.48,9.74
MA,Nordeste,2102309,Buriti Bravo,276,2414.82,8.75
SP,Sudeste,3532108,Murutinga do Sul,353,2413.82,6.84
MG,Sudeste,3128253,Guaraciama,87,2413.82,27.75
GO,Centro Oeste,5206503,Cromínia,191,2412.9,12.63
PI,Nordeste,2200509,Amarante,262,2412.24,9.21
MG,Sudeste,3171808,Virginópolis,232,2405.91,10.37
GO,Centro Oeste,5216007,Panamá,93,2403.55,25.84
SC,Sul,4208955,Jardinópolis,132,2400.97,18.19
PI,Nordeste,2208908,Ribeiro Gonçalves,84,2397.76,28.54
BA,Nordeste,2905800,Camamu,194,2397.2,12.36
PA,Norte,1508035,Tracuateua,83,2393.85,28.84
SC,Sul,4218608,Trombudo Central,235,2389.72,10.17
BA,Nordeste,2905404,Cairu,234,2388.83,10.21
MG,Sudeste,3107901,Bom Repouso,356,2387.53,6.71
RS,Sul,4309753,Ibarama,300,2384.63,7.95
PR,Sul,4107546,Espigão Alto do Iguaçu,142,2383.46,16.78
SP,Sudeste,3547650,Santa Salete,273,2381.8,8.72
CE,Nordeste,2310902,Piquet Carneiro,295,2380.11,8.07
PE,Nordeste,2607703,Itapetim,380,2377.8,6.26
RS,Sul,4304952,Caseiros,165,2374.9,14.39
RN,Nordeste,2406700,Lajes,231,2374.26,10.28
BA,Nordeste,2903607,Biritinga,194,2373.24,12.23
PR,Sul,4118709,Paulo Frontin,209,2369.94,11.34
